flight_id,time,latitude,longitude,altitude
2,2022-01-20 13:11:00,0.5800,0.4200,11621
2,2022-01-20 13:12:00,0.5600,0.4400,11586
2,2022-01-20 13:13:00,0.5400,0.4600,11552
2,2022-01-20 13:14:00,0.5200,0.4800,11517
2,2022-01-20 13:15:00,0.5000,0.5000,11483
2,2022-01-20 13:16:00,0.4800,0.5200,11448
2,2022-01-20 13:17:00,0.4600,0.5400,11414
2,2022-01-20 13:18:00,0.4400,0.5600,11379
2,2022-01-20 13:19:00,0.4200,0.5800,11345
2,2022-01-20 13:20:00,0.4000,0.6000,11310
2,2022-01-20 13:21:00,0.3800,0.6200,11276
2,2022-01-20 13:22:00,0.3600,0.6400,11241
2,2022-01-20 13:23:00,0.3400,0.6600,11207
2,2022-01-20 13:24:00,0.3200,0.6800,11172
2,2022-01-20 13:25:00,0.3000,0.7000,11138
2,2022-01-20 13:26:00,0.2800,0.7200,11103
2,2022-01-20 13:27:00,0.2600,0.7400,11069
2,2022-01-20 13:28:00,0.2400,0.7600,11034
2,2022-01-20 13:29:00,0.2200,0.7800,11000
3,2022-01-20 13:00:00,0.5000,0.8000,11500
3,2022-01-20 13:01:00,0.5200,0.7800,11534
3,2022-01-20 13:02:00,0.5400,0.7600,11569
3,2022-01-20 13:03:00,0.5600,0.7400,11603
3,2022-01-20 13:04:00,0.5800,0.7200,11638
3,2022-01-20 13:05:00,0.6000,0.7000,11672
3,2022-01-20 13:06:00,0.6200,0.6800,11707
3,2022-01-20 13:07:00,0.6400,0.6600,11741
3,2022-01-20 13:08:00,0.6600,0.6400,11776
3,2022-01-20 13:09:00,0.6800,0.6200,11810
3,2022-01-20 13:10:00,0.7000,0.6000,11845
3,2022-01-20 13:11:00,0.7200,0.5800,11879
3,2022-01-20 13:12:00,0.7400,0.5600,11914
3,2022-01-20 13:13:00,0.7600,0.5400,11948
3,2022-01-20 13:14:00,0.7800,0.5200,11983
3,2022-01-20 13:15:00,0.8000,0.5000,12017
3,2022-01-20 13:16:00,0.7800,0.4800,12052
3,2022-01-20 13:17:00,0.7600,0.4600,12086
3,2022-01-20 13:18:00,0.7400,0.4400,12121
3,2022-01-20 13:19:00,0.7200,0.4200,12155
3,2022-01-20 13:20:00,0.7000,0.4000,12190
3,2022-01-20 13:21:00,0.6800,0.3800,12224
3,2022-01-20 13:22:00,0.6600,0.3600,12259
3,2022-01-20 13:23:00,0.6400,0.3400,12293
3,2022-01-20 13:24:00,0.6200,0.3200,12328
3,2022-01-20 13:25:00,0.6000,0.3000,12362
3,2022-01-20 13:26:00,0.5800,0.2800,12397
3,2022-01-20 13:27:00,0.5600,0.2600,12431
3,2022-01-20 13:28:00,0.5400,0.2400,12466
3,2022-01-20 13:29:00,0.5200,0.2200,12500
4,2022-01-20 13:00:00,0.2000,0.8000,12000
4,2022-01-20 13:01:00,0.2200,0.7800,11966
4,2022-01-20 13:02:00,0.2400,0.7600,11931
4,2022-01-20 13:03:00,0.2600,0.7400,11897
4,2022-01-20 13:04:00,0.2800,0.7200,11862
4,2022-01-20 13:05:00,0.3000,0.7000,11828
4,2022-01-20 13:06:00,0.3200,0.6800,11793
4,2022-01-20 13:07:00,0.3400,0.6600,11759
4,2022-01-20 13:08:00,0.3600,0.6400,11724
4,2022-01-20 13:09:00,0.3800,0.6200,11690
4,2022-01-20 13:10:00,0.4000,0.6000,11655
4,2022-01-20 13:11:00,0.4200,0.5800,11621
4,2022-01-20 13:12:00,0.4400,0.5600,11586
4,2022-01-20 13:13:00,0.4600,0.5400,11552
4,2022-01-20 13:14:00,0.4800,0.5200,11517
4,2022-01-20 13:15:00,0.5000,0.5000,11483
4,2022-01-20 13:16:00,0.5200,0.4800,11448
4,2022-01-20 13:17:00,0.5400,0.4600,11414
4,2022-01-20 13:18:00,0.5600,0.4400,11379
4,2022-01-20 13:19:00,0.5800,0.4200,11345
4,2022-01-20 13:20:00,0.6000,0.4000,11310
4,2022-01-20 13:21:00,0.6200,0.3800,11276
4,2022-01-20 13:22:00,0.6400,0.3600,11241
4,2022-01-20 13:23:00,0.6600,0.3400,11207
4,2022-01-20 13:24:00,0.6800,0.3200,11172
4,2022-01-20 13:25:00,0.7000,0.3000,11138
4,2022-01-20 13:26:00,0.7200,0.2800,11103
4,2022-01-20 13:27:00,0.7400,0.2600,11069
4,2022-01-20 13:28:00,0.7600,0.2400,11034
4,2022-01-20 13:29:00,0.7800,0.2200,11000
5,2022-01-20 13:00:00,0.5000,0.5000,13000
5,2022-01-20 13:01:00,0.4800,0.5200,12966
5,2022-01-20 13:02:00,0.4600,0.5400,12931
5,2022-01-20 13:03:00,0.4400,0.5600,12897
5,2022-01-20 13:04:00,0.4200,0.5800,12862
5,2022-01-20 13:05:00,0.4000,0.6000,12828
5,2022-01-20 13:06:00,0.3800,0.6200,12793
5,2022-01-20 13:07:00,0.3600,0.6400,12759
5,2022-01-20 13:08:00,0.3400,0.6600,12724
5,2022-01-20 13:09:00,0.3200,0.6800,12690
5,2022-01-20 13:10:00,0.3000,0.7000,12655
5,2022-01-20 13:11:00,0.2800,0.7200,12621
5,2022-01-20 13:12:00,0.2600,0.7400,12586
5,2022-01-20 13:13:00,0.2400,0.7600,12552
5,2022-01-20 13:14:00,0.2200,0.7800,12517
5,2022-01-20 13:15:00,0.2000,0.8000,12483
5,2022-01-20 13:16:00,0.2200,0.7800,12448
5,2022-01-20 13:17:00,0.2400,0.7600,12414
5,2022-01-20 13:18:00,0.2600,0.7400,12379
5,2022-01-20 13:19:00,0.2800,0.7200,12345
5,2022-01-20 13:20:00,0.3000,0.7000,12310
5,2022-01-20 13:21:00,0.3200,0.6800,12276
5,2022-01-20 13:22:00,0.3400,0.6600,12241
5,2022-01-20 13:23:00,0.3600,0.6400,12207
5,2022-01-20 13:24:00,0.3800,0.6200,12172
5,2022-01-20 13:25:00,0.4000,0.6000,12138
5,2022-01-20 13:26:00,0.4200,0.5800,12103
5,2022-01-20 13:27:00,0.4400,0.5600,12069
5,2022-01-20 13:28:00,0.4600,0.5400,12034
5,2022-01-20 13:29:00,0.4800,0.5200,12000
6,2022-01-20 13:00:00,0.2550,0.5050,12050
6,2022-01-20 13:05:00,0.2750,0.5150,12050
6,2022-01-20 13:10:00,0.2950,0.5250,12050
6,2022-01-20 13:15:00,0.3150,0.5150,12050
6,2022-01-20 13:20:00,0.3350,0.5050,12050
6,2022-01-20 13:25:00,0.3550,0.4950,12050
6,2022-01-20 13:30:00,0.3750,0.4850,12050
6,2022-01-20 13:35:00,0.3950,0.4950,12050
6,2022-01-20 13:40:00,0.4150,0.5050,12050
6,2022-01-20 13:45:00,0.4350,0.5150,12050
6,2022-01-20 13:50:00,0.4550,0.5250,12050
6,2022-01-20 13:55:00,0.4750,0.5150,12050
7,2022-01-20 13:00:00,0.2550,0.5050,11050
7,2022-01-20 13:05:00,0.2750,0.5150,11350
7,2022-01-20 13:10:00,0.2950,0.5250,11650
7,2022-01-20 13:15:00,0.3050,0.5400,11950
7,2022-01-20 13:20:00,0.3150,0.5550,12250
7,2022-01-20 13:25:00,0.3250,0.5700,12550
7,2022-01-20 13:30:00,0.3350,0.5850,12850
7,2022-01-20 13:35:00,0.3450,0.6000,12750
7,2022-01-20 13:40:00,0.3550,0.6150,12450
7,2022-01-20 13:45:00,0.3650,0.6300,12250
7,2022-01-20 13:50:00,0.3750,0.6450,12050
7,2022-01-20 13:55:00,0.3850,0.6600,12350
8,2022-01-20 13:00:00,0.3850,0.3500,12350
8,2022-01-20 13:05:00,0.3750,0.3650,12050
8,2022-01-20 13:10:00,0.3650,0.3800,12150
8,2022-01-20 13:15:00,0.3550,0.3950,12450
8,2022-01-20 13:20:00,0.3450,0.4100,12750
8,2022-01-20 13:25:00,0.3350,0.4250,12850
8,2022-01-20 13:30:00,0.3250,0.4400,12550
8,2022-01-20 13:35:00,0.3150,0.4550,12250
8,2022-01-20 13:40:00,0.3050,0.4700,11950
8,2022-01-20 13:45:00,0.2950,0.4850,11650
8,2022-01-20 13:50:00,0.2750,0.4950,11350
8,2022-01-20 13:55:00,0.2550,0.5050,11050
9,2022-01-20 13:00:00,0.2550,0.5050,12050
9,2022-01-20 13:05:00,0.2750,0.5150,12050
9,2022-01-20 13:10:00,0.2950,0.5250,12050
9,2022-01-20 13:15:00,0.3150,0.5150,12050
9,2022-01-20 13:20:00,0.3350,0.5050,12050
9,2022-01-20 13:25:00,0.3550,0.4950,12050
9,2022-01-20 13:30:00,0.3750,0.4850,12050
9,2022-01-20 13:35:00,0.3950,0.4950,12050
9,2022-01-20 13:40:00,0.4150,0.5050,12050
9,2022-01-20 13:45:00,0.4350,0.5150,12050
9,2022-01-20 13:50:00,0.4550,0.5250,12050
9,2022-01-20 13:55:00,0.4750,0.5150,12050
10,2022-01-20 13:00:00,0.2550,0.5050,11050
10,2022-01-20 13:05:00,0.2750,0.5050,11550
10,2022-01-20 13:10:00,0.2950,0.5050,12050
10,2022-01-20 13:15:00,0.3150,0.5050,12550
10,2022-01-20 13:20:00,0.3350,0.5050,12600
10,2022-01-20 13:25:00,0.3550,0.5050,12550
10,2022-01-20 13:30:00,0.3750,0.5050,12350
10,2022-01-20 13:35:00,0.3950,0.5050,12050
10,2022-01-20 13:40:00,0.4150,0.5050,12050
10,2022-01-20 13:45:00,0.4350,0.5050,12050
10,2022-01-20 13:50:00,0.4550,0.5050,12050
10,2022-01-20 13:55:00,0.4750,0.5050,12050
